what,kind,bundleId,bundleVersion,description,time
error,log,,,"Exception occurred while saving project preferences: /net.hockeyapp.android/.settings/org.eclipse.jdt.core.prefs.",1389110427011
error,log,,,"Exception occurred while saving project preferences: /net.hockeyapp.android/.settings/org.eclipse.jdt.core.prefs.",1389110427011
error,log,,,"Exception occurred while saving project preferences: /net.hockeyapp.android/.settings/org.eclipse.jdt.core.prefs.",1389110427013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110427071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110427071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110427083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110430530
error,log,,,"",1389110465864
error,log,,,"Exception occurred while saving project preferences: /net.simonvt.widgets/.settings/org.eclipse.jdt.core.prefs.",1389110465869
error,log,,,"Exception occurred while saving project preferences: /net.simonvt.widgets/.settings/org.eclipse.jdt.core.prefs.",1389110465870
error,log,,,"Exception occurred while saving project preferences: /net.simonvt.widgets/.settings/org.eclipse.jdt.core.prefs.",1389110465872
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110465946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110465946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110465968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110468603
error,log,,,"",1389110475713
error,log,,,"Exception occurred while saving project preferences: /org.holoeverywhere/.settings/org.eclipse.jdt.core.prefs.",1389110475719
error,log,,,"Exception occurred while saving project preferences: /org.holoeverywhere/.settings/org.eclipse.jdt.core.prefs.",1389110475720
error,log,,,"Exception occurred while saving project preferences: /org.holoeverywhere/.settings/org.eclipse.jdt.core.prefs.",1389110475721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110475782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110475782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110475795
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1389110477349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110479911
error,log,,,"",1389110486817
error,log,,,"Exception occurred while saving project preferences: /pt.rocket.framework/.settings/org.eclipse.jdt.core.prefs.",1389110486822
error,log,,,"Exception occurred while saving project preferences: /pt.rocket.framework/.settings/org.eclipse.jdt.core.prefs.",1389110486823
error,log,,,"Exception occurred while saving project preferences: /pt.rocket.framework/.settings/org.eclipse.jdt.core.prefs.",1389110486825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110486903
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110486903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110486913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110490287
error,log,,,"",1389110500937
error,log,,,"Exception occurred while saving project preferences: /pt.rocket.framework.testproject/.settings/org.eclipse.jdt.core.prefs.",1389110500940
error,log,,,"Exception occurred while saving project preferences: /pt.rocket.framework.testproject/.settings/org.eclipse.jdt.core.prefs.",1389110500941
error,log,,,"Exception occurred while saving project preferences: /pt.rocket.framework.testproject/.settings/org.eclipse.jdt.core.prefs.",1389110500943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110501013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110501013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110501030
error,log,,,"JavaBuilder handling CoreException while building: pt.rocket.framework.testproject",1389110501112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110504198
error,log,,,"",1389110511440
error,log,,,"Exception occurred while saving project preferences: /pt.rocket.jumia.dev/.settings/org.eclipse.jdt.core.prefs.",1389110511443
error,log,,,"Exception occurred while saving project preferences: /pt.rocket.jumia.dev/.settings/org.eclipse.jdt.core.prefs.",1389110511445
error,log,,,"Exception occurred while saving project preferences: /pt.rocket.jumia.dev/.settings/org.eclipse.jdt.core.prefs.",1389110511446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110511539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110511539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110511553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110513310
error,log,,,"",1389110519227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110519312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110519312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110519328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110521095
error,log,,,"",1389110527459
error,log,,,"Exception occurred while saving project preferences: /pt.rocket.view/.settings/org.eclipse.jdt.core.prefs.",1389110527461
error,log,,,"Exception occurred while saving project preferences: /pt.rocket.view/.settings/org.eclipse.jdt.core.prefs.",1389110527463
error,log,,,"Exception occurred while saving project preferences: /pt.rocket.view/.settings/org.eclipse.jdt.core.prefs.",1389110527465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110527543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110527543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110527557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110529977
error,log,,,"",1389110537100
error,log,,,"Exception occurred while saving project preferences: /Shell/.settings/org.eclipse.jdt.core.prefs.",1389110537102
error,log,,,"Exception occurred while saving project preferences: /Shell/.settings/org.eclipse.jdt.core.prefs.",1389110537104
error,log,,,"Exception occurred while saving project preferences: /Shell/.settings/org.eclipse.jdt.core.prefs.",1389110537105
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110537188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110537188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110537208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110540057
error,log,,,"",1389110547002
error,log,,,"Exception occurred while saving project preferences: /TestApp/.settings/org.eclipse.jdt.core.prefs.",1389110547005
error,log,,,"Exception occurred while saving project preferences: /TestApp/.settings/org.eclipse.jdt.core.prefs.",1389110547007
error,log,,,"Exception occurred while saving project preferences: /TestApp/.settings/org.eclipse.jdt.core.prefs.",1389110547007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110547104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1389110547104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110547115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110549241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110586538
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1389110594736
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1389110594749
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1389110594791
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1389110594792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110596533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1389110648168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110648191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110653062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1389110670312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110670331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110680808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110704032
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1389110709637
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1389110709674
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1389110709790
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1389110709794
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1389110710178
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1389110710338
opened,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1389110710843
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1389110711051
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1389110711062
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1389110711731
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1389110711807
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1389110711893
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1389110713269
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1389110717852
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1389110717889
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1389110727909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110730187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1389110735876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110735930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110739499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1389110742335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110742355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110745784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1389110750144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389110750162
